model,system,lambda,c,rho_perserver,rho_offered,Wq_mean_s,Wq_lo_s,Wq_hi_s,Lq_mean,Lq_lo,Lq_hi,P_wait,P_wait_gt2p5,Wq_p95_s
B_dedicated,slow,0.075678,2,0.31,,0.49161,0.48719,0.49679,0.0372,0.03687,0.0376,0.14156,0.08228,4.1199
B_dedicated,slow,0.085443,2,0.35,,0.63844,0.63288,0.64404,0.05455,0.05408,0.05503,0.17516,0.10471,4.86843
B_dedicated,slow,0.095208,2,0.39,,0.812,0.80516,0.81781,0.07731,0.07666,0.07786,0.21115,0.13038,5.56397
B_dedicated,slow,0.104973,2,0.43,,1.01666,1.00825,1.02367,0.10672,0.10584,0.10746,0.24987,0.15853,6.25251
B_dedicated,slow,0.114737,2,0.47,,1.25984,1.24817,1.27063,0.14455,0.14321,0.14579,0.29102,0.19015,7.00877
B_dedicated,slow,0.124502,2,0.51,,1.55005,1.53425,1.56551,0.19298,0.19102,0.19491,0.33436,0.22502,7.90812
B_dedicated,slow,0.134267,2,0.55,,1.89894,1.87832,1.92255,0.25497,0.2522,0.25813,0.37977,0.26365,9.11434
B_dedicated,slow,0.144032,2,0.59,,2.32246,2.29174,2.36087,0.33451,0.33008,0.34004,0.42693,0.30588,10.57763
B_dedicated,slow,0.153797,2,0.63,,2.84459,2.79978,2.89751,0.43749,0.4306,0.44563,0.47572,0.35231,12.25858
B_dedicated,slow,0.163562,2,0.67,,3.50043,3.43711,3.5664,0.57254,0.56218,0.58333,0.52615,0.40244,14.31566
B_dedicated,slow,0.173327,2,0.71,,4.34929,4.2626,4.43626,0.75385,0.73882,0.76892,0.57851,0.45696,16.97923
B_dedicated,slow,0.183092,2,0.75,,5.48141,5.35943,5.59829,1.0036,0.98127,1.025,0.63266,0.5158,20.4925
B_dedicated,slow,0.192856,2,0.79,,7.04973,6.87675,7.24711,1.35959,1.32623,1.39765,0.68804,0.57978,25.38817
B_dedicated,slow,0.202621,2,0.83,,9.37279,9.09842,9.71091,1.89913,1.84353,1.96764,0.74484,0.64809,32.53978
B_dedicated,slow,0.212386,2,0.87,,13.13732,12.6285,13.61822,2.79019,2.68212,2.89232,0.80263,0.72137,43.83617
B_dedicated,slow,0.222151,2,0.91,,20.17907,19.23156,20.9341,4.4828,4.27231,4.65053,0.86183,0.80013,65.165
B_dedicated,slow,0.231916,2,0.95,,38.48457,35.79374,39.92971,8.92519,8.30114,9.26034,0.92209,0.88458,117.86849
A_pooled_oppoint_arb,mixture,0.05039,1,0.2703,0.2703,1.19583,1.18826,1.20121,0.06026,0.05988,0.06053,0.27088,0.174,7.25912
A_pooled_oppoint_arb,mixture,0.05039,2,0.1352,0.2703,0.06618,0.06432,0.06827,0.00333,0.00324,0.00344,0.03138,0.01039,0.0
A_pooled_oppoint_arb,mixture,0.05039,4,0.0676,0.2703,0.00016,8e-05,0.00023,1e-05,0.0,1e-05,0.00016,1e-05,0.0
A_pooled_oppoint_arb,mixture,0.05039,8,0.0338,0.2703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_pooled_oppoint_arb,mixture,0.05039,16,0.0169,0.2703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_dedicated_oppoint_arb,fast,0.031746,1,0.1176,,0.25922,0.25695,0.26078,0.00823,0.00816,0.00828,0.11793,0.04574,2.35001
B_dedicated_oppoint_arb,fast,0.031746,2,0.0588,,0.0081,0.00763,0.00875,0.00026,0.00024,0.00028,0.0064,0.00076,0.0
B_dedicated_oppoint_arb,slow,0.018644,1,0.1527,,0.75465,0.75103,0.75878,0.01407,0.014,0.01415,0.15299,0.11238,6.13073
B_dedicated_oppoint_arb,slow,0.018644,2,0.0764,,0.03002,0.02882,0.03183,0.00056,0.00054,0.00059,0.01047,0.0053,0.0
A_pooled_oppoint_3chain,mixture,0.06881,1,0.3692,0.3692,1.89112,1.87515,1.90054,0.13013,0.12903,0.13078,0.36959,0.25254,9.36849
A_pooled_oppoint_3chain,mixture,0.06881,2,0.1846,0.3692,0.12403,0.12156,0.12693,0.00853,0.00836,0.00873,0.05602,0.01992,0.35383
A_pooled_oppoint_3chain,mixture,0.06881,4,0.0923,0.3692,0.00061,0.00047,0.00076,4e-05,3e-05,5e-05,0.00056,5e-05,0.0
A_pooled_oppoint_3chain,mixture,0.06881,8,0.0461,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_pooled_oppoint_3chain,mixture,0.06881,16,0.0231,0.3692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B_dedicated_oppoint_3chain,fast,0.04335,1,0.1606,,0.3722,0.36959,0.37375,0.01613,0.01602,0.0162,0.16097,0.06584,2.92977
B_dedicated_oppoint_3chain,fast,0.04335,2,0.0803,,0.0152,0.01473,0.01601,0.00066,0.00064,0.00069,0.01176,0.00143,0.0
B_dedicated_oppoint_3chain,slow,0.02546,1,0.2086,,1.10369,1.09855,1.10776,0.0281,0.02797,0.0282,0.2087,0.15657,7.32508
B_dedicated_oppoint_3chain,slow,0.02546,2,0.1043,,0.05519,0.05399,0.0575,0.00141,0.00137,0.00146,0.01895,0.00966,0.0
